epoch_index,train_loss,train_acc,val_loss,val_acc
0,1.0471192932654207,0.454431914732867,1.11415636697058,0.41446165599237533
1,1.0376602602360785,0.46318672065365163,1.1058944441393064,0.4102191351042644
2,1.036067382655264,0.4621944080165017,1.09999260839274,0.4074192196580024
3,1.0363138876806097,0.45930906170107966,1.0908805247923348,0.40895453753184674
4,1.0344798209214718,0.45855100406759547,1.0896171739533327,0.4076788144675896
5,1.032106725219706,0.4607116371554605,1.085875889109884,0.4075749765437547
6,1.029726445811014,0.4617875218479723,1.0903519497676748,0.40693340651434634
7,1.0275305274859956,0.46274691216028274,1.0843738188235208,0.4100893376994708
8,1.0253160959794136,0.4641520201011897,1.0825903849173697,0.4129189211239714
9,1.0238669909328724,0.46465725116314993,1.0862848441306232,0.4106011103240856
10,1.0226110554481926,0.4661683014570661,1.090382145172062,0.4097073624796496
11,1.0214767444670119,0.4670753537145035,1.0874575505730042,0.4095293546102184
12,1.024379104976339,0.46299256335331607,1.0670528760858198,0.41752487474550437
13,1.0215269417202286,0.4644103337268536,1.068174540185821,0.4187078853777661
14,1.0200151687842556,0.4663046336483887,1.0694620737673657,0.41622690069756835
15,1.0187052133643886,0.46722856914933353,1.0723788092339592,0.41686847072697675
16,1.0214427584000758,0.46340493657598536,1.0611850433426393,0.42672565649673094
17,1.0198873121993894,0.4636754905531921,1.0629337193468387,0.42956636541307097
18,1.0183261505644692,0.46495397416779327,1.0651258378096982,0.42740801999621736
19,1.017819912109664,0.46556134885297357,1.0664659370026874,0.42386269659671205
20,1.0195786025198414,0.4625607744006132,1.0540364803580544,0.44198983130045877
21,1.0182304547925765,0.4632909746823101,1.0568132252826155,0.43987598785096294
22,1.0174432727094098,0.46418494242602926,1.0556502399809002,0.4404878899021328
23,1.0170359584646074,0.4649366688431981,1.0561583608355998,0.44104787299138515
24,1.0175898358212478,0.4641431563983483,1.0520513822076365,0.44672187382950557
25,1.0170211187032399,0.46477079097573754,1.0527341521048055,0.4475711197065837
26,1.016945908748986,0.4647914729490341,1.0518125462645704,0.4470111366173313
27,1.016575858953789,0.46554868642034297,1.0542563790343338,0.4432507203755966
28,1.0162903777682892,0.46559258285346233,1.0530551192043123,0.44706676407652857
29,1.016049004778495,0.46624385397176193,1.0550677176705745,0.4449937140971107
