,precision,recall,f1-score,support
Baja,0.7026860466864074,0.3509394869793035,0.4680985280865125,133211.0
Neutro,0.21377674943306743,0.31120234604105573,0.2534494288482797,59675.0
Sube,0.5101639870093421,0.6930283224400872,0.5877000531165562,110160.0
accuracy,0.4674669852101661,0.4674669852101661,0.4674669852101661,0.4674669852101661
macro avg,0.475542261042939,0.45172338515348215,0.43641600335044944,303046.0
weighted avg,0.5364278139177235,0.4674669852101661,0.46930665820625694,303046.0
