,precision,recall,f1-score,support
Baja,0.5145726740517083,0.7957526030132647,0.6249937354995239,133211.0
Neutro,0.38684087727484834,0.013891914537075828,0.026820667119609176,59675.0
Sube,0.5534715124182042,0.4768064633260712,0.5122865878933586,110160.0
accuracy,0.5258508609254041,0.5258508609254041,0.5258508609254041,0.5258508609254041
macro avg,0.48496168791492034,0.4288169936254706,0.38803366350416385,303046.0
weighted avg,0.50356015800396,0.5258508609254041,0.46623302842579056,303046.0
