,precision,recall,f1-score,support
Baja,0.6295261809818685,0.7952121071082718,0.702735155000962,133211.0
Neutro,0.3850327760875702,0.4114285714285714,0.39779327776022555,59675.0
Sube,0.6752524327902097,0.4352668845315904,0.5293289690841149,110160.0
accuracy,0.5887951004137986,0.5887951004137986,0.5887951004137986,0.5887951004137986
macro avg,0.5632704632865494,0.5473025210228112,0.5432858006151008,303046.0
weighted avg,0.5980031117519153,0.5887951004137986,0.5796520852196718,303046.0
