name,test_accuracy,test_macro_f1,train_accuracy,generalizacion_gap,complejidad_params,complejidad_unidad,model_size_mb,search_time_s,fit_time_s,tiempo_s,inference_time_s,train_rows,val_rows,test_rows,device,run_id
Baseline (Reg. Logistica),0.5258508609254041,0.38803366350416385,0.4576895365676282,-0.06816132435777594,117,parametros entrenables,0.0014066696166992188,0.0,72.47854670000379,72.47854670000379,0.021185999998124316,2369213,269651,303046,cpu,8cdc75e1-a40f-4407-8f85-f9013f81f1ba
DNN manual,0.4674669852101661,0.43641600335044944,0.41131675370682164,-0.05615023150334447,57855,parametros entrenables,0.23396682739257812,0.0,130.51037410000572,130.51037410000572,0.1002946999942651,2369213,269651,303046,NVIDIA GeForce RTX 3060 Ti,8cdc75e1-a40f-4407-8f85-f9013f81f1ba
AutoML (catboost_gpu),0.5918276433280756,0.56198106631278,0.49744788670330614,-0.09437975662476944,289792,hojas de arbol,18.0169038772583,1771.0232644081116,0.0,1771.0232644081116,0.6760550000035437,2369213,269651,303046,gpu,8cdc75e1-a40f-4407-8f85-f9013f81f1ba
NAS (Optuna),0.5887951004137986,0.5432858006151008,0.48532402954061116,-0.10347107087318741,694083,parametros entrenables,2.6810216903686523,549.2401738166809,129.59552769998845,678.8357015166694,0.12902670000039507,2369213,269651,303046,NVIDIA GeForce RTX 3060 Ti,8cdc75e1-a40f-4407-8f85-f9013f81f1ba
