,precision,recall,f1-score,support
Baja,0.6793033413260697,0.7507262913723342,0.7132312037314391,133211.0
Neutro,0.37384287957682455,0.6063678257226645,0.462525644385078,59675.0
Sube,0.7310838965394583,0.3918028322440087,0.5101863508218231,110160.0
accuracy,0.5918276433280756,0.5918276433280756,0.5918276433280756,0.5918276433280756
macro avg,0.5947433724807842,0.582965649779669,0.56198106631278,303046.0
weighted avg,0.6379755986976262,0.5918276433280756,0.5900542759695897,303046.0
