name,family,test_accuracy,test_macro_f1,train_accuracy,generalizacion_gap,complejidad_params,tiempo_s
Baseline (Reg. Logistica),ML clasico lineal,0.5576176106619614,0.4638154138701535,0.5592942224089889,0.00167661174702749,117,
DNN manual,DNN disenada a mano,0.5701565019147964,0.5232421888166994,0.572006023222424,0.0018495213076276107,57855,
AutoML (lgbm),AutoML / ML clasico,0.5720654427064018,0.5255397033312453,0.5825776842585305,0.01051224155212871,167 arboles,1827.9002282619476
NAS (Optuna),DNN con arquitectura optimizada,0.5535108505131499,0.49891219479961463,0.5557823530647167,0.0022715025515668286,307071,368.21046209335327
