epoch_index,train_loss,train_acc,val_loss,val_acc
0,1.5168300011970446,0.316500036087933,1.6128866529769994,0.23256728141189908
1,1.504156709728506,0.3244685049423585,1.5826142325907786,0.23612373030324382
2,1.5033628675671564,0.3221023183647903,1.5638405471722188,0.24529484407623187
3,1.501003856877214,0.321688678898858,1.5537900332274803,0.2546958846805686
4,1.4971337070378434,0.3231946642197219,1.5522646916773943,0.2531902347849628
5,1.4927080712682712,0.325239647089561,1.551187212882425,0.24925181067379687
6,1.4894659159579189,0.3272428439317191,1.5591412408738081,0.23875676337191407
7,1.485920074887546,0.3289391878231295,1.5625728310896314,0.23553037073847308
8,1.4828690773234177,0.33138219315865647,1.5695054919842018,0.2316883675565824
9,1.4870691788867734,0.3278768097254236,1.5538246906703639,0.24613667295875039
10,1.481500029145013,0.33188573589626597,1.5587512327204414,0.24451976814475007
