train_rows,train_accuracy,val_accuracy
10000,0.3603,0.27745864098408685
22857,0.3411646322789517,0.2714953773581407
35714,0.316906535252282,0.2698154280903835
48571,0.30822919025756107,0.2727822259142373
61428,0.31374943022725793,0.26401904684202915
74285,0.3142222521370398,0.28268762214862914
87142,0.31026370751187715,0.28950013165165345
100000,0.30385,0.27511116220596255
