,precision,recall,f1-score,support
Baja++,0.5180930814394112,0.6143086050842319,0.5621133241860304,92364.0
Baja,0.1913721890775585,0.04083531226283448,0.06730827431753526,40847.0
Neutro,0.35750551876379694,0.054277335567658146,0.09424601731286826,59675.0
Sube,0.21051332675222112,0.021560548997800976,0.03911498337727846,39563.0
Sube++,0.3302485134041153,0.803206935138887,0.4680517379425336,70597.0
accuracy,0.39335282432370006,0.39335282432370006,0.39335282432370006,0.39335282432370006
macro avg,0.32154652588742066,0.30683774741028247,0.2461668674272492,303046.0
weighted avg,0.3585177301816848,0.39335282432370006,0.3130978857011695,303046.0
