,precision,recall,f1-score,support
Baja++,0.37247000058328517,0.7605019271577671,0.500037373065054,92364.0
Baja,0.22015915119363394,0.0020319729723113082,0.004026780516204153,40847.0
Neutro,0.27325662385423344,0.16435693338919147,0.20525698978737653,59675.0
Sube,0.175,0.003007860880115259,0.005914072012523917,39563.0
Sube++,0.4888851617231547,0.5367508534356984,0.5117010789569633,70597.0
accuracy,0.38986160516885227,0.38986160516885227,0.38986160516885227,0.38986160516885227
macro avg,0.30595418747086145,0.29332990956701666,0.24538725886762439,303046.0
weighted avg,0.33374339134438946,0.38986160516885227,0.3133424767106115,303046.0
