,precision,recall,f1-score,support
Baja,0.6862149342559687,0.7405616611116116,0.7123532489138876,444040.0
Neutro,0.3738137248054129,0.6158695532529131,0.4652407427705356,199867.0
Sube,0.7245833147257742,0.39884955123757915,0.5144939918858309,366118.0
accuracy,0.592021979653969,0.592021979653969,0.592021979653969,0.592021979653969
macro avg,0.5948706579290519,0.5850935885340346,0.5640293278567514,1010025.0
weighted avg,0.6383039045206553,0.592021979653969,0.5917329962172202,1010025.0
