,precision,recall,f1-score,support
Baja,0.6100112544432765,0.7397148905504008,0.6686310552532636,444040.0
Neutro,0.339427766446457,0.5087383109767996,0.4071841899765733,199867.0
Sube,0.7391342263150551,0.347256895317903,0.47251758881748884,366118.0
accuracy,0.5517487190911116,0.5517487190911116,0.5517487190911116,0.5517487190911116
macro avg,0.5628577490682628,0.5319033656150344,0.5161109446824419,1010025.0
weighted avg,0.6032723462185212,0.5517487190911116,0.5458070947307129,1010025.0
