,precision,recall,f1-score,support
Baja,0.7098996357883287,0.6790649491036843,0.694140031054578,444040.0
Neutro,0.35142539663268024,0.6661780083755697,0.46012399264614406,199867.0
Sube,0.7123670631555997,0.40158910515189095,0.5136267648070874,366118.0
accuracy,0.5759342590529938,0.5759342590529938,0.5759342590529938,0.5759342590529938
macro avg,0.5912306985255363,0.5822773542103816,0.5559635961692698,1010025.0
weighted avg,0.6398580019827581,0.5759342590529938,0.5823989953766717,1010025.0
