name,test_accuracy,test_macro_f1,train_accuracy,generalizacion_gap,complejidad_params,complejidad_unidad,model_size_mb,search_time_s,fit_time_s,tiempo_s,inference_time_s,train_rows,val_rows,test_rows,device,run_id
DNN manual,0.5536902551917032,0.5192177348410397,0.413718,-0.13997225519170325,57855,parametros entrenables,0.23396682739257812,0.0,37.06197389998124,37.06197389998124,0.35606610000832006,3000000,898893,1010025,NVIDIA GeForce RTX 3060 Ti,d9c89008-c256-450c-a403-5045a690221d
AutoML (catboost_gpu),0.592021979653969,0.5640293278567514,0.49928866666666666,-0.09273331298730231,86784,hojas de arbol,25.706857681274414,723.4095592498779,0.0,723.4095592498779,1.832748899993021,3000000,898893,1010025,GPU:0 (CatBoost),d9c89008-c256-450c-a403-5045a690221d
NAS (Optuna),0.5759342590529938,0.5559635961692698,0.47659033333333334,-0.09934392571966044,141695,parametros entrenables,0.5562324523925781,720.9273595809937,193.03814190000412,913.9655014809978,0.1952261999831535,3000000,898893,1010025,NVIDIA GeForce RTX 3060 Ti,d9c89008-c256-450c-a403-5045a690221d
