,precision,recall,f1-score,support
Baja,0.6173272014321992,0.7385168002882623,0.6725058472126663,444040.0
Neutro,0.3426189808881093,0.5443569974032731,0.4205458642722132,199867.0
Sube,0.7596968926536155,0.3346216247220841,0.4646014930382399,366118.0
accuracy,0.5536902551917032,0.5536902551917032,0.5536902551917032,0.5536902551917032
macro avg,0.5732143583246413,0.5391651408045398,0.5192177348410397,1010025.0
weighted avg,0.6145738029471288,0.5536902551917032,0.5472851722274014,1010025.0
